Designator,Mid X,Mid Y,Rotation,Layer
D1,53.475,-39.35,270.0,bottom
D10,239.1,-39.35,270.0,bottom
D11,53.475,-56.35,270.0,bottom
D12,71.475,-56.35,270.0,bottom
D13,88.35,-56.35,270.0,bottom
D14,107.475,-56.35,270.0,bottom
D15,125.475,-56.35,270.0,bottom
D16,167.1,-56.35,270.0,bottom
D17,183.975,-56.35,270.0,bottom
D18,203.1,-56.35,270.0,bottom
D19,221.1,-56.35,270.0,bottom
D2,71.475,-39.35,270.0,bottom
D20,239.1,-56.35,270.0,bottom
D21,53.475,-73.35,270.0,bottom
D22,71.475,-73.35,270.0,bottom
D23,89.475,-73.35,270.0,bottom
D24,107.475,-73.35,270.0,bottom
D25,125.475,-73.35,270.0,bottom
D26,167.1,-73.35,270.0,bottom
D27,185.1,-73.35,270.0,bottom
D28,203.1,-73.35,270.0,bottom
D29,221.1,-73.35,270.0,bottom
D3,89.475,-39.35,270.0,bottom
D30,239.1,-73.35,270.0,bottom
D31,88.35,-90.35,270.0,bottom
D32,107.475,-90.35,270.0,bottom
D33,125.475,-90.35,270.0,bottom
D34,154.725,-98.85,270.0,bottom
D35,183.975,-90.35,270.0,bottom
D36,203.1,-90.35,270.0,bottom
D37,135.475,-88.83,180.0,bottom
D4,107.475,-39.35,270.0,bottom
D5,125.475,-39.35,270.0,bottom
D6,167.1,-39.35,270.0,bottom
D7,185.1,-39.35,270.0,bottom
D8,203.1,-39.35,270.0,bottom
D9,221.1,-39.35,270.0,bottom
S1,46.725,-43.6,0.0,bottom
S10,232.35,-43.6,0.0,bottom
S11,46.725,-60.6,0.0,bottom
S12,64.725,-60.6,0.0,bottom
S13,82.725,-60.6,0.0,bottom
S14,100.725,-60.6,0.0,bottom
S15,118.725,-60.6,0.0,bottom
S16,160.35,-60.6,0.0,bottom
S17,178.35,-60.6,0.0,bottom
S18,196.35,-60.6,0.0,bottom
S19,214.35,-60.6,0.0,bottom
S2,64.725,-43.6,0.0,bottom
S20,232.35,-60.6,0.0,bottom
S21,46.725,-77.6,0.0,bottom
S22,64.725,-77.6,0.0,bottom
S23,82.725,-77.6,0.0,bottom
S24,100.725,-77.6,0.0,bottom
S25,118.725,-77.6,0.0,bottom
S26,160.35,-77.6,0.0,bottom
S27,178.35,-77.6,0.0,bottom
S28,196.35,-77.6,0.0,bottom
S29,214.35,-77.6,0.0,bottom
S3,82.725,-43.6,0.0,bottom
S30,232.35,-77.6,0.0,bottom
S31,82.725,-94.6,0.0,bottom
S32,100.725,-94.6,0.0,bottom
S33,118.725,-94.6,0.0,bottom
S34,160.35,-94.6,180.0,bottom
S35,178.35,-94.6,0.0,bottom
S36,196.35,-94.6,0.0,bottom
S4,100.725,-43.6,0.0,bottom
S5,118.725,-43.6,0.0,bottom
S6,160.35,-43.6,0.0,bottom
S7,178.35,-43.6,0.0,bottom
S8,196.35,-43.6,0.0,bottom
S9,214.35,-43.6,0.0,bottom
